# agenci i przepływy zatrzymane celowo przez orkiestratora (nie są zastojem)
wf_725a3592-fa1        # pierwszy panel koncepcji (interpretacja v1) — zatrzymany po korekcie Inwestora
ac1298b42425dadc5      # stary agent W3 — zawieszony (3× limit długości), zastąpiony nowym
# agenci zakończeni (potwierdzone powiadomieniem o zakończeniu)
a70b2709f5f62a5a2      # silnik rysunkowy — zakończony
affb914430bd01f17      # rdzeń modelu i pipeline 3D — zakończony
a15e57952f52b96b8      # generatory widoków — zakończony
af72e8de1f1d66b66      # rejestr wymagań — zakończony
a7447ed7be6bcdaf1      # składanie tomów — zakończony
a87415027562c59a6      # biblioteka fizyki/EP — zakończony
a358500c03b62940a      # biblioteka instalacji/elektryki — zakończony
a27284e7b67190ca8      # biblioteka konstrukcji — zakończony
a8cd211c9e4499948      # solver mostków (wf) — zakończony
a26849570eda26834  # moduł ścian-tarcz — zakończony 25.09 ~06:30
a3a8ae3b05a6e1fbd  # synteza — zakończona
a31322d115de1ad9a  # weryfikacja koncepcji + podglądy — zakończony
a68a8b74f8ab79b44  # rysunki instalacji IS/IE — zakończony
wf_44634517-034  # przepływ koncepcji — zakończony
a076389c324f1eb11  # generator PZT — zakończony
